term_ 36 months,sub_grade,purpose_educational,purpose_home_improvement,int_rate,loan_amnt,home_ownership_OWN,term_ 60 months,revol_bal,application_type_DIRECT_PAY,application_type_INDIVIDUAL,total_acc,revol_util,purpose_car,purpose_debt_consolidation,home_ownership_MORTGAGE,pub_rec,application_type_JOINT,purpose_credit_card,debt_to_income_ratio,purpose_small_business,purpose_other,installment,open_acc,pub_rec_bankruptcies,annual_inc,purpose_medical,verification_status,home_ownership_RENT,credit_history_length
False,20,False,False,22.935308492528502,16795,True,False,8524,True,False,11,29.281286673716878,False,True,False,2,False,True,4.712288522707371,False,True,1323.0627646453509,14,0,159335,False,1,True,26
True,27,True,True,6.604674913232844,1860,True,False,35110,True,False,34,37.50994053183499,False,True,True,4,True,False,3.659707893636499,False,False,1308.682200655803,6,2,83293,False,0,False,1
False,0,True,False,15.490227791405093,39158,False,True,35951,True,False,47,50.89417810092862,True,False,False,3,False,True,13.420573843172825,True,True,1218.5918301705506,13,2,176877,False,1,True,15
True,20,False,True,13.20793653979323,45732,False,True,25596,False,False,11,31.904392987280737,False,False,True,4,True,False,5.613678908721833,False,True,1195.544132645239,4,2,31874,True,0,True,11
True,34,False,True,24.64757233817213,12284,True,True,31036,False,True,40,96.89678620822997,True,True,False,4,False,False,10.70841185901099,True,True,491.78475169215915,22,0,106402,False,2,False,37
True,12,False,True,7.240778043361047,7265,True,True,13422,False,False,33,93.30776530661451,False,True,True,3,False,True,2.1182320180529812,True,True,167.33296042431567,18,1,34079,False,2,True,7
False,9,False,False,12.957111980914833,17850,True,True,1569,True,False,28,87.06714682143208,True,True,False,4,False,False,23.800336867867955,False,False,634.3212592094841,12,1,92779,True,1,True,12
False,9,True,True,24.38940866550738,38194,False,True,37593,False,True,43,42.18298355226534,True,True,False,2,True,False,5.81104467815218,False,True,301.6105467304376,20,2,115408,False,2,False,38
True,12,True,False,22.310142517879605,22962,True,False,4359,False,True,8,69.13017693352289,False,True,False,1,False,True,30.269292525025083,False,False,1057.6790789085694,27,1,160090,False,2,False,3
False,23,True,True,21.3414414189856,48191,True,False,36490,False,False,33,90.28293070359646,True,True,False,4,False,True,8.726999051118884,True,False,551.844603479789,22,1,140606,False,1,True,26
False,1,True,True,10.158056540898796,45131,True,True,10392,False,True,48,85.0429487678928,True,True,False,2,False,False,31.919063173527434,True,False,1464.6347912468766,21,2,140062,True,0,True,30
True,21,True,True,8.417751747801317,17023,False,True,26941,True,True,9,41.43270140202077,False,False,False,1,True,True,7.595279449034709,False,True,979.4095121507314,19,0,32100,False,1,True,32
True,16,True,False,18.37286439848862,42090,True,True,28465,False,False,33,11.238604932226071,True,False,False,1,False,False,28.854662548051945,False,True,1242.5968172698233,8,2,77021,False,0,True,36
True,13,True,False,23.587519782551716,2685,False,False,17307,False,False,34,7.563036383454946,False,True,False,4,False,True,13.322987185007893,True,False,242.16077547568023,7,1,170872,False,1,False,37
True,9,False,True,16.135257860278596,1769,True,True,36299,True,True,33,57.70640452257027,True,False,False,2,False,True,23.324799795560335,False,False,1299.9209992953026,16,0,148126,True,1,False,18
True,34,True,False,16.432253789397997,3433,True,False,23012,False,True,30,64.26279352109316,False,True,True,4,False,True,1.5464725728695372,False,True,1387.9979262444217,19,1,112446,True,2,False,1
False,24,False,True,10.599581873205683,6311,False,False,37019,True,True,23,84.98426045970241,False,False,False,3,True,True,19.8097773741703,True,True,756.239782287457,6,0,49437,True,1,False,21
True,2,False,True,20.389858663838737,38819,True,True,37081,False,True,30,29.251502034103105,False,True,True,1,False,False,5.947515788082529,False,False,929.0667597389173,20,1,197747,False,1,False,28
False,16,False,True,8.740874971150468,40188,False,False,15335,False,True,41,16.747049055004247,False,False,False,4,True,True,19.452809089961058,False,True,1158.9742113093434,27,2,171014,False,0,True,16
False,11,True,True,11.473584728084873,18568,True,True,41857,False,True,31,37.900583317819944,False,True,True,1,True,False,5.654365235445988,False,True,303.51600952759816,21,1,40862,False,2,True,28
True,23,True,False,13.508728772328336,20769,False,False,33647,True,False,34,35.35751236322751,True,False,True,2,False,False,17.483564805574833,False,False,778.7208108719915,11,1,31669,False,0,False,22
True,28,True,True,15.1522075736891,29693,True,True,48219,False,True,34,13.246895401785475,True,False,False,0,True,True,4.4248328092915346,True,True,628.061390269854,5,0,141219,False,0,False,19
False,24,True,False,9.848194648301604,7396,False,True,43910,False,False,7,67.22826525131521,False,True,False,4,True,True,8.798060709371832,True,True,262.2422886352612,16,1,35916,True,2,False,1
True,25,False,True,7.296736494784071,28480,False,False,19376,True,False,47,50.869194072937596,True,True,True,4,True,True,23.80315742015419,True,False,582.9249123227206,7,2,30878,False,2,True,31
False,0,True,True,17.21240084883265,42434,True,False,32023,False,True,11,72.11227561147663,True,True,True,1,False,True,39.066425488405685,True,True,148.84984860896566,27,2,22985,False,2,True,34
True,19,False,True,10.772611064805115,26658,False,False,5634,False,False,13,35.269112016973466,True,False,False,2,True,True,17.96739073567888,False,False,87.42726507675613,5,2,61235,True,1,True,6
True,27,True,True,16.624764428452245,19942,True,True,26569,False,True,45,32.57022115777023,False,False,False,3,True,False,27.4869477043801,False,True,245.991119274493,11,0,38931,True,2,False,28
False,15,True,True,8.087254305484047,19431,False,False,36174,False,False,46,47.257585304385564,False,False,False,2,False,True,21.576986841775007,False,False,1446.516911804302,15,0,112876,False,2,False,3
False,16,False,False,14.62280203709635,3747,True,False,35770,False,True,17,87.7407345395147,True,False,True,4,False,False,19.93431737177751,False,True,846.8178270477746,3,1,20336,True,2,False,31
True,27,False,False,15.651788651031717,1189,True,True,32663,True,False,19,4.028130673398033,False,True,False,3,True,False,2.588167873594047,True,False,1450.442133672169,26,1,62933,True,0,False,16
True,11,False,True,6.036470736448538,20118,True,True,46259,True,True,9,80.4832817296472,False,True,False,2,True,False,5.771896091011177,False,True,677.1219235786914,5,1,65536,True,0,False,17
